rgi_id,rgi_region,rgi_subregion,name,cenlon,cenlat,rgi_area_km2,rgi_year,glacier_type,terminus_type,is_tidewater,status,inv_volume_km3,vas_volume_km3,inv_volume_bsl_km3,inv_volume_bwl_km3,dem_source,flowline_type,ref_hgt_qc_diff,inversion_glen_a,inversion_fs,error_task,error_msg,dem_mean_elev,dem_med_elev,dem_min_elev,dem_max_elev,dem_max_elev_on_ext,dem_min_elev_on_ext,dem_perc_area_above_max_elev_on_ext,terminus_lon,terminus_lat,main_flowline_length,inv_flowline_glacier_area,flowline_mean_elev,flowline_max_elev,flowline_min_elev,flowline_avg_slope,flowline_avg_width,flowline_last_width,flowline_last_5_widths,t_star,mu_star_glacierwide,mu_star_flowline_avg,mu_star_allsame,mb_bias
RGI60-09.00022,09,09-02,(Severny Island),64.6697,76.3428,1.406,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.09507042112303987,0.05431987138532327,0.0,0.0,COPDEM,elevation_band,170.0,2.804597255283034e-24,0,,,448.71856689453125,481.06341552734375,50.115394592285156,609.208740234375,609.208740234375,50.115394592285156,0.0,64.66708454317389,76.35714582991142,2430.0,1405999.9999999995,451.4570830085772,602.193667687287,59.23287877505629,0.22344615720985028,578.6008230452674,61.27049511450309,124.9843752554813,1995,194.26393031227929,194.26393031227929,True,361.50690869578244
RGI60-09.00023,09,09-02,(Severny Island),64.6204,76.3456,1.581,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.10454814152071061,0.06382785329984436,0.0,0.0,COPDEM,elevation_band,190.0,2.804597255283034e-24,0,,,527.668212890625,551.7244262695312,73.42328643798828,838.6029663085938,838.6029663085938,73.42328643798828,0.0,64.62196168248582,76.35988022382875,2800.0,1581000.0000000002,533.6275125375206,817.4294529040948,87.42150852666416,0.2570607017081801,564.6428571428572,76.36902147911671,203.68156483228879,1995,246.10539467666507,246.10539467666501,True,361.51796553955074
RGI60-09.00024,09,09-02,(Severny Island),64.8489,76.3921,0.57,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.0267871582217343,0.015696645265338743,0.0,0.0,COPDEM,elevation_band,300.0,2.804597255283034e-24,0,,,476.8609313964844,488.3266296386719,311.26080322265625,565.7661743164062,565.7661743164062,311.26080322265625,0.0,64.87536586121844,76.39842753695534,1008.0,569999.9999999999,476.7425672429527,545.633160643808,328.7375762936073,0.22127909054872608,565.4761904761904,40.320145431857846,143.23638929054985,1995,178.5248803624009,178.52488036240092,True,361.4656849160103
RGI60-09.00025,09,09-02,(Severny Island),56.5161,73.9638,1.994,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.11825808902854812,0.08782153096619674,0.0,0.0,COPDEM,elevation_band,130.0,2.804597255283034e-24,0,,,569.8219604492188,571.6658935546875,266.9277648925781,844.0076293945312,844.0076293945312,266.9277648925781,0.0,56.54476019545103,73.97610009674672,2460.0,1993999.9999999998,576.2701405785359,841.0289304122584,291.7592915770405,0.22190478793967403,810.5691056910568,214.90511398845308,442.94138927424956,1995,197.48201677061792,197.48201677061806,True,406.90243667559685
RGI60-09.00026,09,09-02,(Severny Island),65.0187,76.4123,2.371,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.1820267947118321,0.11143196879569309,0.0,0.0,COPDEM,elevation_band,210.0,2.804597255283034e-24,0,,,397.63482666015625,386.593505859375,233.25958251953125,561.7816772460938,561.7816772460938,233.25958251953125,0.0,65.00773177552135,76.42274508807373,2496.0,2371000.0,395.44998356062973,548.2040838431595,238.97149466323825,0.12491898576557252,949.9198717948718,67.71677200465227,210.38385406465673,1995,189.05393488501085,189.0539348850108,True,361.42719351985346
RGI60-09.00027,09,09-02,Severny Island Ice Cap (Severny Island),66.2337,76.5313,9.504,2000,Glacier,Land-terminating,False,Glacier or ice cap,1.0140914955412594,0.7517964230110056,0.03827042195383985,0.0,COPDEM,elevation_band,180.0,2.804597255283034e-24,0,,,420.6865539550781,479.85223388671875,55.58729553222656,654.427734375,654.427734375,55.58729553222656,0.0,66.16702742575151,76.54530400093682,4876.0,9503999.999999998,414.85107822071126,640.2915261543245,61.62328054792307,0.11922887829107688,1949.1386382280552,267.1684959698074,811.8466892759585,1995,161.0264998151729,161.02649981517288,True,361.1563175134482
RGI60-09.00028,09,09-02,Severny Island Ice Cap (Severny Island),59.4957,75.1067,5.49,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.7265766505373286,0.35350119858673684,0.0,0.0,COPDEM,elevation_band,169.0,2.804597255283034e-24,0,,,444.1495361328125,466.0892639160156,246.69630432128906,581.9157104492188,581.9157104492188,246.69630432128906,0.0,59.61850088983994,75.09585550022491,4644.0,5489999.999999999,443.2315537777907,567.8358281414269,269.22110165155874,0.06546135633412484,1182.170542635659,311.80186027744276,707.7089928029727,1995,129.84037519345975,129.8403751934597,True,382.78232253615676
RGI60-09.00029,09,09-02,(Severny Island),56.8355,74.4584,6.587,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.7606070726335775,0.45412399972508166,0.0,0.0,COPDEM,elevation_band,70.0,2.804597255283034e-24,0,,,541.2745361328125,556.2100830078125,184.83450317382812,1028.5491943359375,1028.5491943359375,184.83450317382812,0.0,56.71985463050893,74.45868907837863,6164.0,6586999.999999998,546.5341750252244,999.8927852445767,202.19913990379024,0.13077459175207481,1068.6242699545746,199.85566121472792,455.78774441266415,1995,253.14732471159195,253.14732471159192,True,407.0428045293844
RGI60-09.00030,09,09-02,Severny Island Ice Cap (Severny Island),60.6878,75.9362,6.364,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.6605020015925689,0.433119664615407,0.0039095282048363785,0.0,COPDEM,elevation_band,,2.804597255283034e-24,0,,,419.0053405761719,440.8240661621094,83.35729217529297,631.4010009765625,631.4010009765625,83.4129638671875,0.0,60.72976961130923,75.95992928044178,5310.0,6364000.0,420.84623617646025,628.7816703849685,89.06623467678423,0.10168329451455099,1198.4934086629003,49.196314854970566,190.86545999514027,1995,177.8531435411519,177.85314354115192,True,382.6667294705447
RGI60-09.00031,09,09-02,(Severny Island),56.2643,74.6193,4.757,2000,Glacier,Land-terminating,False,Glacier or ice cap,0.5201332330141805,0.2902765817409529,0.0,0.0,COPDEM,elevation_band,,2.804597255283034e-24,0,,,460.8649597167969,487.68798828125,128.947509765625,801.234619140625,801.234619140625,129.30967712402344,0.0,56.26116468786467,74.63883805963573,4838.0,4757000.000000001,474.57236699292326,777.9956206367403,148.4883800872871,0.13274850887254855,983.2575444398512,323.83891882219876,533.0759428153287,1995,208.77050490064266,208.7705049006427,True,407.1945280012789
